content,source
"India News | Latest India News Headlines Today and Live Updates from India - Times of IndiaEditionININUSEnglishEnglishहिन्दीमराठीಕನ್ನಡதமிழ்বাংলাമലയാളംతెలుగుગુજરાતીSign InTOIindiaTimes EvokeOperation SindoorCancel PatriarchyMaharashtraDelhiKarnatakaTamil NaduTelanganaUttar PradeshWest BengalGujaratMadhya PradeshBiharChandigarhRajasthanArunachal PradeshAndhra PradeshAssamChhattisgarhGoaHaryanaHimachal PradeshJammu KashmirJharkhandKeralaManipurMeghalayaMizoramNagalandOdishaPunjabSikkimTripuraUttarakhandAndaman Nicobar IslandsDadra Nagar HaveliDaman DiuLakshadweepPondicherryWeb StoriesSaving Our StripesDigital ArrestNewsINDIA NEWSIndia NewsIndia / Jun 13, 2025Air India plane crash: Government says formal probe launched; forming expert panel to examine incidentNEW DELHI: Hours after the Air India plane crashed in Ahmedabad, the government has swiftly moved to initiate a formal investigation, as announced by civil aviation minister Ram Mohan Naidu. The Aircraft Accident Investigation Bureau",https://timesofindia.indiatimes.com/india
"Nicobar IslandsDadra Nagar HaveliDaman DiuLakshadweepPondicherryWeb StoriesSaving Our StripesDigital ArrestNewsINDIA NEWSIndia NewsIndia / Jun 13, 2025Air India plane crash: Government says formal probe launched; forming expert panel to examine incidentNEW DELHI: Hours after the Air India plane crashed in Ahmedabad, the government has swiftly moved to initiate a formal investigation, as announced by civil aviation minister Ram Mohan Naidu. The Aircraft Accident Investigation Bureau (AAIB) has beenIndia / Jun 12, 2025Mother from Kurukshetra village, on her way to see daughter in London, dies inAhmedabad air crashIndia / Jun 12, 2025Crypto mining busted in Fazilka, machines and computers found in specially designed sound-proof buildingIndia / Jun 12, 2025India ranked 131 of 148 nations on Global Gender Gap Index 2025India's gender parity ranking slipped to 131 out of 148 countries in the 2025 Global Gender Gap Index, despite a slight improvement in its overall score. The World Economic",https://timesofindia.indiatimes.com/india
"/ Jun 12, 2025Mother from Kurukshetra village, on her way to see daughter in London, dies inAhmedabad air crashIndia / Jun 12, 2025Crypto mining busted in Fazilka, machines and computers found in specially designed sound-proof buildingIndia / Jun 12, 2025India ranked 131 of 148 nations on Global Gender Gap Index 2025India's gender parity ranking slipped to 131 out of 148 countries in the 2025 Global Gender Gap Index, despite a slight improvement in its overall score. The World Economic Forum report highlights a decline in female political representation, particularly in Parliament and ministerial roles.India / Jun 12, 2025Ahmedabad plane crash: Amit Shah says couldn't save lives due to heat after crash; confirms one person survivedIndia / Jun 12, 2025Railway strengthens Tatkal booking with Aadhaar verification and OTP authenticationIndia / Jun 12, 2025Meghalaya honeymoon murder: Raj Kushwaha actual mastermind; aides killed as ‘favour to friend’Trending TopicsFaridabad Family",https://timesofindia.indiatimes.com/india
"Forum report highlights a decline in female political representation, particularly in Parliament and ministerial roles.India / Jun 12, 2025Ahmedabad plane crash: Amit Shah says couldn't save lives due to heat after crash; confirms one person survivedIndia / Jun 12, 2025Railway strengthens Tatkal booking with Aadhaar verification and OTP authenticationIndia / Jun 12, 2025Meghalaya honeymoon murder: Raj Kushwaha actual mastermind; aides killed as ‘favour to friend’Trending TopicsFaridabad Family SuicideMeghalaya Honeymoon MurderWTC Final Live ScoreBhopal Railway OverbridgeKarnataka SSLC 2 ResultMaharashtra FYJC General Merit ListPlane Crash in Ahmedabad NewsVijay Rupani Videos  04:37PM Modi's Big Declaration In 1st Visit To J&K After Pahalgam Attack | 'Pak Attacked Kashmiriyat'04:37PM Modi's Big Declaration In 1st Visit To J&K After Pahalgam Attack | 'Pak Attacked Kashmiriyat'04:08Sikkim: Landslide Hits Indian Army Camp After River Teesta Swells; 3 Personnel Killed, 6 Missing09:15FULL",https://timesofindia.indiatimes.com/india
"SuicideMeghalaya Honeymoon MurderWTC Final Live ScoreBhopal Railway OverbridgeKarnataka SSLC 2 ResultMaharashtra FYJC General Merit ListPlane Crash in Ahmedabad NewsVijay Rupani Videos  04:37PM Modi's Big Declaration In 1st Visit To J&K After Pahalgam Attack | 'Pak Attacked Kashmiriyat'04:37PM Modi's Big Declaration In 1st Visit To J&K After Pahalgam Attack | 'Pak Attacked Kashmiriyat'04:08Sikkim: Landslide Hits Indian Army Camp After River Teesta Swells; 3 Personnel Killed, 6 Missing09:15FULL SPEECH: Tharoor Mocks Pak's Kashmir 'Dream' In Guyana | 'They Want Something They Don't Have'06:36PM Modi's Shocking New Op Sindoor Reveal | '9 Terror Hideouts In Pak Destroyed In Just 22 Mins'03:20Indian Air Force Flaunts Rafale, BrahMos In 1st Video After Decimating Pak Airbases In Op Sindoor04:26Indian Army Shares 1st Video Of Missiles, Russian S-400 In Action During Op Sindoor Against PakPopular India StoriesAir India Gujarat plane crash: 'Why was landing gear down?' Aviation experts on what",https://timesofindia.indiatimes.com/india
"Tharoor Mocks Pak's Kashmir 'Dream' In Guyana | 'They Want Something They Don't Have'06:36PM Modi's Shocking New Op Sindoor Reveal | '9 Terror Hideouts In Pak Destroyed In Just 22 Mins'03:20Indian Air Force Flaunts Rafale, BrahMos In 1st Video After Decimating Pak Airbases In Op Sindoor04:26Indian Army Shares 1st Video Of Missiles, Russian S-400 In Action During Op Sindoor Against PakPopular India StoriesAir India Gujarat plane crash: 'Why was landing gear down?' Aviation experts on what might have caused crashAhmedabad plane crash: Passenger Vishwashkumar Ramesh makes miraculous escape; was on seat 11AAir India plane crash: CCTV footage shows AI171's fatal 30-second flight - from runway to tragedyAhmedabad man avoids Air India crash by postponing travel, says God saved him from deathAhmedabad plane crash: ‘Her phone still rings’ - Manipur family clings to hope for 20-year-old cabin crewAhmedabad plane crash: Police finds one survivor in seat 11A; 242 were onboardMeghalaya honeymoon",https://timesofindia.indiatimes.com/india
"have caused crashAhmedabad plane crash: Passenger Vishwashkumar Ramesh makes miraculous escape; was on seat 11AAir India plane crash: CCTV footage shows AI171's fatal 30-second flight - from runway to tragedyAhmedabad man avoids Air India crash by postponing travel, says God saved him from deathAhmedabad plane crash: ‘Her phone still rings’ - Manipur family clings to hope for 20-year-old cabin crewAhmedabad plane crash: Police finds one survivor in seat 11A; 242 were onboardMeghalaya honeymoon murder: Raj Kushwaha actual mastermind; aides killed as ‘favour to friend’Ahmedabad plane crash: Amit Shah says couldn't save lives due to heat after crash; confirms one person survived‘Lal Salam’ in Srinagar: CPM demands restoration of Article 370, talks with PakistanAir India plane crash: Boeing, a whistleblower, and his 'gap' warning - 'That’s not how you build aircraft'Ahmedabad air crash: Ex-Gujarat CM Vijay Rupani among victims, confirms BJP; calls his demise 'a big loss'Ahmedabad plane",https://timesofindia.indiatimes.com/india
"murder: Raj Kushwaha actual mastermind; aides killed as ‘favour to friend’Ahmedabad plane crash: Amit Shah says couldn't save lives due to heat after crash; confirms one person survived‘Lal Salam’ in Srinagar: CPM demands restoration of Article 370, talks with PakistanAir India plane crash: Boeing, a whistleblower, and his 'gap' warning - 'That’s not how you build aircraft'Ahmedabad air crash: Ex-Gujarat CM Vijay Rupani among victims, confirms BJP; calls his demise 'a big loss'Ahmedabad plane crash: Flight crashed into doctors' hostel, many feared dead; eyewitnesses say it was flying 'very low'Ahmedabad plane crash: Tata announces Rs 1 crore compensation to kin of deceased; to cover medical costs of injured and rebuild hostel hit by aircraftAhmedabad plane crash: Pilot issued Mayday call before crash; what is it, and when is it issued?'Let us also not forget ... Osama bin Laden': MEA rebuts US general's endorsement of Pakistan, cites Pahalgam attackAhmedabad plane crash: Flight was",https://timesofindia.indiatimes.com/india
"crash: Flight crashed into doctors' hostel, many feared dead; eyewitnesses say it was flying 'very low'Ahmedabad plane crash: Tata announces Rs 1 crore compensation to kin of deceased; to cover medical costs of injured and rebuild hostel hit by aircraftAhmedabad plane crash: Pilot issued Mayday call before crash; what is it, and when is it issued?'Let us also not forget ... Osama bin Laden': MEA rebuts US general's endorsement of Pakistan, cites Pahalgam attackAhmedabad plane crash: Flight was heading to London with 240 onboard - what we know so farMore India NewsMeghalaya honeymoon murder: Raj Kushwaha actual mastermind; aides killed as ‘favour to friend’'Let us also not forget ... Osama bin Laden': MEA rebuts US general's endorsement of Pakistan, cites Pahalgam attackIn a first, CA firms part of CAG teamAhmedabad plane crash: ‘Her phone still rings’ - Manipur family clings to hope for 20-year-old cabin crewAhmedabad plane crash: Passenger Vishwashkumar Ramesh makes miraculous",https://timesofindia.indiatimes.com/india
"was heading to London with 240 onboard - what we know so farMore India NewsMeghalaya honeymoon murder: Raj Kushwaha actual mastermind; aides killed as ‘favour to friend’'Let us also not forget ... Osama bin Laden': MEA rebuts US general's endorsement of Pakistan, cites Pahalgam attackIn a first, CA firms part of CAG teamAhmedabad plane crash: ‘Her phone still rings’ - Manipur family clings to hope for 20-year-old cabin crewAhmedabad plane crash: Passenger Vishwashkumar Ramesh makes miraculous escape; was on seat 11AAir India plane crash: Boeing, a whistleblower, and his 'gap' warning - 'That’s not how you build aircraft'Ahmedabad man avoids Air India crash by postponing travel, says God saved him from deathThink tank launches Trump Study Circle to help Indians understand US politicsVijay Rupani dies in Air India plane crash: From Emergency protests to Gujarat CM chair - A calm leader who rose to power04:48Air India plane crash: CCTV footage shows AI171's fatal 30-second flight - from",https://timesofindia.indiatimes.com/india
